idx,observationId,sourceId,runId,fieldx,fieldy,posx,posy,parallactic,airmass,zenith,seed,chip,intensity,temperature
0,103254,5430256040009592960,0,-0.02125486172735691,0.022004520520567894,-0.21914078295230865,0.2268184870481491,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,650365,5095.63330078125
1,103254,5428174110449704960,1,-0.018924349918961525,-0.01901082694530487,-0.195526584982872,-0.19614949822425842,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,1358147,4899.68994140625
2,103254,5620915440776868352,2,0.021112194284796715,-0.020426420494914055,0.21787038445472717,-0.21069778501987457,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,1719163,4965.294921875
3,103254,5621326658126040960,3,0.020894290879368782,0.022254327312111855,0.2154461294412613,0.22981564700603485,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,10172251,5785.66650390625
4,103254,5428532280659831936,4,-0.022247029468417168,-0.01935453899204731,-0.22992822527885437,-0.19960534572601318,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,1580913,4896.89990234375
5,103254,5430230132770987520,5,-0.021581824868917465,0.018915966153144836,-0.22232018411159515,0.1953359991312027,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,2401116,4901.5
6,103254,5430244941818189952,6,-0.019619980826973915,0.020338285714387894,-0.20294234156608582,0.21035300195217133,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW0,721135,4669.14013671875
7,103254,5620825078967378304,7,0.02223534882068634,-0.021584389731287956,0.22946690022945404,-0.2228190153837204,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,356282,9083.3603515625
8,103254,5428169235665663488,8,-0.021111242473125458,-0.020281890407204628,-0.21790441870689392,-0.20913296937942505,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,6647354,5276.22021484375
9,103254,5620919190291569152,9,0.022585218772292137,-0.020160868763923645,0.23286454379558563,-0.2079032063484192,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,1249324,3951.666748046875
10,103254,5621320821275184000,10,0.019100984558463097,0.019565196707844734,0.19707754254341125,0.20170824229717255,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,2221539,4319.0
11,103254,5430228242985326976,11,-0.022708304226398468,0.020084861665964127,-0.23409013450145721,0.20719945430755615,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW1,1768781,4955.61669921875
12,103254,5621326318833266816,12,0.02026972360908985,0.021943487226963043,0.20872695744037628,0.22617553174495697,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,448133,5396.3583984375
13,103254,5428171881365546624,13,-0.019117705523967743,-0.021440822631120682,-0.19711168110370636,-0.22100190818309784,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,634819,6594.4892578125
14,103254,5428170713134445824,14,-0.02025163546204567,-0.021869957447052002,-0.20876307785511017,-0.2255151867866516,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,1667157,5410.66650390625
15,103254,5620914551726921728,15,0.020087316632270813,-0.021617287769913673,0.20779359340667725,-0.22339527308940887,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW0,1037609,3922.25
16,103254,5430242983313147392,16,-0.019374730065464973,0.019094185903668404,-0.1998530626296997,0.19731587171554565,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW0,807603,4351.8251953125
17,103254,5621326726846216832,17,0.020823538303375244,0.022667573764920235,0.21498097479343414,0.23371435701847076,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,2217594,5045.00244140625
18,103254,5620915715654755840,18,0.021342890337109566,-0.02118493616580963,0.21998509764671326,-0.21835468709468842,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,769523,4871.0
19,103254,5430245384194200576,19,-0.0191363412886858,0.021283842623233795,-0.19757455587387085,0.21974584460258484,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW0,331914,8108.751953125
20,103254,5621320443318067712,20,0.019223911687731743,0.019297638908028603,0.1981831192970276,0.19928668439388275,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW0,1251917,4934.5947265625
21,103254,5428166280728342144,21,-0.021561168134212494,-0.022646194323897362,-0.22263815999031067,-0.23369255661964417,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,1886981,4951.0
22,103254,5428544302270734976,22,-0.02152837999165058,-0.018901845440268517,-0.2224506288766861,-0.1951248049736023,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,722464,4441.0
23,103254,5428170781846849408,23,-0.020090093836188316,-0.021691761910915375,-0.20691733062267303,-0.22378478944301605,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,2694440,4887.4599609375
24,103254,5620822158389604352,24,0.022013021633028984,-0.02138085663318634,0.22718682885169983,-0.22040173411369324,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,10021613,6265.28515625
25,103254,5620915818741761152,25,0.02132459729909897,-0.02046026661992073,0.21957282721996307,-0.2108568549156189,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,291267,5141.09326171875
26,103254,5621326112674864512,26,0.021036231890320778,0.021147586405277252,0.21711181104183197,0.2176409810781479,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,653091,4935.33349609375
27,103254,5620825010247922176,27,0.022464580833911896,-0.02196025475859642,0.23196417093276978,-0.22667914628982544,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,581727,4441.30517578125
28,103254,5428166516946557696,28,-0.02209843322634697,-0.022014468908309937,-0.2279175966978073,-0.2270306646823883,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,299334,8948.6142578125
29,103254,5428171056731826176,29,-0.01945907063782215,-0.021540747955441475,-0.2004803717136383,-0.22226785123348236,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,1190236,4910.39306640625
30,103254,5430243326910517376,30,-0.01964719034731388,0.01943139173090458,-0.2032027542591095,0.2007814347743988,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW0,1011226,5095.63330078125
31,103254,5430269195493087616,31,-0.019368307664990425,0.02230849489569664,-0.19990183413028717,0.23080112040042877,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R40_SW0,534600,7706.275390625
32,103254,5621327177826741632,32,0.021745173260569572,0.02179386466741562,0.22399982810020447,0.22528937458992004,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R44_SW1,2069627,4902.0
33,103254,5428167655117841024,33,-0.021001020446419716,-0.021385595202445984,-0.21646054089069366,-0.22036460041999817,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW1,5887011,5319.0
34,103254,5620916540288537856,34,0.021885352209210396,-0.020188020542263985,0.2257138341665268,-0.20769396424293518,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW1,296072,7865.0634765625
35,103254,5620914547423624064,35,0.020241007208824158,-0.021701576188206673,0.20915329456329346,-0.22434909641742706,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW0,875530,4305.169921875
36,103254,5620726737099033088,36,0.019457343965768814,-0.021258963271975517,0.20071080327033997,-0.21949583292007446,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R04_SW0,306499,4827.31494140625
37,103254,5428532207638420992,37,-0.022640803828835487,-0.0192980095744133,-0.23415881395339966,-0.1990511566400528,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,293645,9793.9658203125
38,103254,5428543993028715520,38,-0.022003747522830963,-0.01938055083155632,-0.22692124545574188,-0.19989486038684845,0.647416353225708,1.1815377473831177,0.5616927742958069,11,R00_SW0,393601,4195.96044921875
