source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,chip,sdss_r_mag
3043143311727413632,119.16549291697368,-6.872563420438821,,17.349123001098633,17.723438262939453,16.78609848022461,R44_SW1,17.311613082885742
3043237079451472896,119.18691428630324,-6.872696552612929,,17.88384246826172,18.22784996032715,17.355819702148438,R44_SW1,17.851259231567383
3043143316024717952,119.15768176515743,-6.872864826287506,4829.68310546875,12.916572570800781,13.510677337646484,12.202797889709473,R44_SW1,12.880454063415527
3043190148348447360,119.19733010579347,-6.881699241430709,5586.86328125,16.027599334716797,16.39773941040039,15.504434585571289,R44_SW1,15.99325942993164
3043189873470540672,119.22165173142581,-6.8989929867557125,5825.0,16.67436981201172,17.00398826599121,16.186742782592773,R44_SW1,16.646953582763672
3043189873470540544,119.21639913437251,-6.894897015415232,,17.534564971923828,17.945659637451172,16.944753646850586,R44_SW1,17.49362564086914
3043143247305243008,119.15953664664643,-6.8791271343928395,4885.5498046875,15.452983856201172,16.014978408813477,14.751550674438477,R44_SW1,15.413784980773926
3043189839110801536,119.23679510350873,-6.901135069097955,5812.0,16.270832061767578,16.59664535522461,15.778202056884766,R44_SW1,16.2432918548584
3043189839110801408,119.24158429345788,-6.90175263512004,5776.66650390625,17.054378509521484,17.38072967529297,16.565486907958984,R44_SW1,17.02716827392578
3043143247305243392,119.16959713805852,-6.886406191502862,,17.10430145263672,17.364282608032227,16.590076446533203,R44_SW1,17.081573486328125
3043189804751064192,119.22919355675687,-6.904881245641649,5719.5,16.78293228149414,17.121145248413086,16.261884689331055,R44_SW1,16.7514705657959
3043190079628971264,119.20439498546916,-6.891199212505801,,17.27823257446289,17.60521125793457,16.77823257446289,R44_SW1,17.249832153320312
3043190625085205888,119.24657452115598,-6.852840346136306,,17.951610565185547,18.51424789428711,17.273117065429688,R44_SW1,17.91118812561035
3043189839110801024,119.24052984510834,-6.8988433726434595,4979.0,16.46255874633789,17.04081916809082,15.755268096923828,R44_SW1,16.424785614013672
3043190182708184064,119.20045320435355,-6.871478953975512,5785.0,16.278976440429688,16.60025405883789,15.795416831970215,R44_SW1,16.25285530090332
3043190113988707712,119.2059637731286,-6.876562198130832,5430.5,15.303984642028809,15.689350128173828,14.759574890136719,R44_SW1,15.266974449157715
3043237972804694272,119.18923116742258,-6.808534237543173,,17.2619571685791,17.710277557373047,16.665306091308594,R44_SW1,17.21946907043457
3043238350761815936,119.1714159246722,-6.810348015047585,,17.88368797302246,18.321653366088867,17.28595542907715,R44_SW1,17.841466903686523
3043237599147121536,119.17352902751892,-6.815110674630023,5438.0751953125,15.352194786071777,15.728610038757324,14.812565803527832,R44_SW1,15.316139221191406
3043190659444948096,119.24706854346215,-6.84194668135642,,17.486722946166992,17.82450294494629,16.969043731689453,R44_SW1,17.455604553222656
3043237560487830656,119.16847878394206,-6.816091243855535,,17.80722999572754,18.899045944213867,16.59481430053711,R44_SW1,18.118738174438477
3043238316402073600,119.15737877724705,-6.818706714876127,5754.5,16.821369171142578,17.1845645904541,16.30247688293457,R44_SW1,16.78793716430664
3043237526128089216,119.19315188257093,-6.823625952816694,,17.44401741027832,17.79625129699707,16.903594970703125,R44_SW1,17.40972900390625
3043190109689120384,119.20713083931787,-6.884194739251299,,17.865468978881836,18.44066047668457,17.135780334472656,R44_SW1,17.82911491394043
3043237319969655936,119.2072860007106,-6.833729540745924,5854.66650390625,16.127552032470703,16.454694747924805,15.652396202087402,R44_SW1,16.101701736450195
